L,N,LgramLength,Algorithm name,Criteria name,False Negative
10,10000,1,vigenereMonogram,Criteria 1.1,0.032
100,10000,1,vigenereMonogram,Criteria 1.1,0.995
1000,10000,1,vigenereMonogram,Criteria 1.1,1.000
1000,10000,1,vigenereMonogram,Criteria 1.1,1.000
10000,1000,1,vigenereMonogram,Criteria 1.1,1.000

10,10000,1,vigenereBigram,Criteria 1.1,0.027
100,10000,1,vigenereBigram,Criteria 1.1,0.998
1000,10000,1,vigenereBigram,Criteria 1.1,1.000
1000,10000,1,vigenereBigram,Criteria 1.1,1.000
10000,1000,1,vigenereBigram,Criteria 1.1,1.000

10,10000,2,vigenereMonogram,Criteria 1.1,0.004
100,10000,2,vigenereMonogram,Criteria 1.1,0.940
1000,10000,2,vigenereMonogram,Criteria 1.1,1.000
1000,10000,2,vigenereMonogram,Criteria 1.1,1.000
10000,1000,2,vigenereMonogram,Criteria 1.1,1.000

10,10000,2,vigenereBigram,Criteria 1.1,0.005
100,10000,2,vigenereBigram,Criteria 1.1,0.952
1000,10000,2,vigenereBigram,Criteria 1.1,1.000
1000,10000,2,vigenereBigram,Criteria 1.1,1.000
10000,1000,2,vigenereBigram,Criteria 1.1,1.000

10,10000,1,affineMonogram,Criteria 1.1,0.065
100,10000,1,affineMonogram,Criteria 1.1,0.832
1000,10000,1,affineMonogram,Criteria 1.1,0.888
1000,10000,1,affineMonogram,Criteria 1.1,0.885
10000,1000,1,affineMonogram,Criteria 1.1,0.878

10,10000,1,affineBigram,Criteria 1.1,0.037
100,10000,1,affineBigram,Criteria 1.1,0.980
1000,10000,1,affineBigram,Criteria 1.1,0.997
1000,10000,1,affineBigram,Criteria 1.1,0.997
10000,1000,1,affineBigram,Criteria 1.1,0.997

10,10000,2,affineMonogram,Criteria 1.1,0.018
100,10000,2,affineMonogram,Criteria 1.1,0.762
1000,10000,2,affineMonogram,Criteria 1.1,0.919
1000,10000,2,affineMonogram,Criteria 1.1,0.913
10000,1000,2,affineMonogram,Criteria 1.1,0.928

10,10000,2,affineBigram,Criteria 1.1,0.008
100,10000,2,affineBigram,Criteria 1.1,0.905
1000,10000,2,affineBigram,Criteria 1.1,0.992
1000,10000,2,affineBigram,Criteria 1.1,0.992
10000,1000,2,affineBigram,Criteria 1.1,0.997

10,10000,1,uniformMonogram,Criteria 1.1,0.028
100,10000,1,uniformMonogram,Criteria 1.1,0.999
1000,10000,1,uniformMonogram,Criteria 1.1,1.000
1000,10000,1,uniformMonogram,Criteria 1.1,1.000
10000,1000,1,uniformMonogram,Criteria 1.1,1.000

10,10000,1,uniformBigram,Criteria 1.1,0.048
100,10000,1,uniformBigram,Criteria 1.1,0.999
1000,10000,1,uniformBigram,Criteria 1.1,1.000
1000,10000,1,uniformBigram,Criteria 1.1,1.000
10000,1000,1,uniformBigram,Criteria 1.1,1.000

10,10000,2,uniformMonogram,Criteria 1.1,0.005
100,10000,2,uniformMonogram,Criteria 1.1,0.964
1000,10000,2,uniformMonogram,Criteria 1.1,1.000
1000,10000,2,uniformMonogram,Criteria 1.1,1.000
10000,1000,2,uniformMonogram,Criteria 1.1,1.000

10,10000,2,uniformBigram,Criteria 1.1,0.010
100,10000,2,uniformBigram,Criteria 1.1,0.964
1000,10000,2,uniformBigram,Criteria 1.1,1.000
1000,10000,2,uniformBigram,Criteria 1.1,1.000
10000,1000,2,uniformBigram,Criteria 1.1,1.000

10,10000,1,recurrentMonogram,Criteria 1.1,0.033
100,10000,1,recurrentMonogram,Criteria 1.1,0.683
1000,10000,1,recurrentMonogram,Criteria 1.1,0.681
1000,10000,1,recurrentMonogram,Criteria 1.1,0.686
10000,1000,1,recurrentMonogram,Criteria 1.1,0.685

10,10000,1,recurrentBigram,Criteria 1.1,0.029
100,10000,1,recurrentBigram,Criteria 1.1,0.981
1000,10000,1,recurrentBigram,Criteria 1.1,1.000
1000,10000,1,recurrentBigram,Criteria 1.1,1.000
10000,1000,1,recurrentBigram,Criteria 1.1,1.000

10,10000,2,recurrentMonogram,Criteria 1.1,0.030
100,10000,2,recurrentMonogram,Criteria 1.1,0.628
1000,10000,2,recurrentMonogram,Criteria 1.1,0.634
1000,10000,2,recurrentMonogram,Criteria 1.1,0.614
10000,1000,2,recurrentMonogram,Criteria 1.1,0.617

10,10000,2,recurrentBigram,Criteria 1.1,0.005
100,10000,2,recurrentBigram,Criteria 1.1,0.923
1000,10000,2,recurrentBigram,Criteria 1.1,1.000
1000,10000,2,recurrentBigram,Criteria 1.1,1.000
10000,1000,2,recurrentBigram,Criteria 1.1,1.000

