L,N,LgramLength,Algorithm name,Criteria name,False Negative
10,10000,1,vigenereMonogram,Criteria 5.1,0.748
100,10000,1,vigenereMonogram,Criteria 5.1,0.000
1000,10000,1,vigenereMonogram,Criteria 5.1,0.000
1000,10000,1,vigenereMonogram,Criteria 5.1,0.000
10000,1000,1,vigenereMonogram,Criteria 5.1,0.000

10,10000,1,vigenereBigram,Criteria 5.1,0.742
100,10000,1,vigenereBigram,Criteria 5.1,0.000
1000,10000,1,vigenereBigram,Criteria 5.1,0.000
1000,10000,1,vigenereBigram,Criteria 5.1,0.000
10000,1000,1,vigenereBigram,Criteria 5.1,0.000

10,10000,2,vigenereMonogram,Criteria 5.1,1.000
100,10000,2,vigenereMonogram,Criteria 5.1,0.987
1000,10000,2,vigenereMonogram,Criteria 5.1,0.188
1000,10000,2,vigenereMonogram,Criteria 5.1,0.193
10000,1000,2,vigenereMonogram,Criteria 5.1,0.000

10,10000,2,vigenereBigram,Criteria 5.1,1.000
100,10000,2,vigenereBigram,Criteria 5.1,0.987
1000,10000,2,vigenereBigram,Criteria 5.1,0.097
1000,10000,2,vigenereBigram,Criteria 5.1,0.097
10000,1000,2,vigenereBigram,Criteria 5.1,0.000

10,10000,1,affineMonogram,Criteria 5.1,0.858
100,10000,1,affineMonogram,Criteria 5.1,0.217
1000,10000,1,affineMonogram,Criteria 5.1,0.211
1000,10000,1,affineMonogram,Criteria 5.1,0.216
10000,1000,1,affineMonogram,Criteria 5.1,0.211

10,10000,1,affineBigram,Criteria 5.1,0.792
100,10000,1,affineBigram,Criteria 5.1,0.010
1000,10000,1,affineBigram,Criteria 5.1,0.009
1000,10000,1,affineBigram,Criteria 5.1,0.007
10000,1000,1,affineBigram,Criteria 5.1,0.009

10,10000,2,affineMonogram,Criteria 5.1,1.000
100,10000,2,affineMonogram,Criteria 5.1,0.980
1000,10000,2,affineMonogram,Criteria 5.1,0.676
1000,10000,2,affineMonogram,Criteria 5.1,0.681
10000,1000,2,affineMonogram,Criteria 5.1,0.400

10,10000,2,affineBigram,Criteria 5.1,1.000
100,10000,2,affineBigram,Criteria 5.1,0.988
1000,10000,2,affineBigram,Criteria 5.1,0.360
1000,10000,2,affineBigram,Criteria 5.1,0.361
10000,1000,2,affineBigram,Criteria 5.1,0.098

10,10000,1,uniformMonogram,Criteria 5.1,0.738
100,10000,1,uniformMonogram,Criteria 5.1,0.000
1000,10000,1,uniformMonogram,Criteria 5.1,0.000
1000,10000,1,uniformMonogram,Criteria 5.1,0.000
10000,1000,1,uniformMonogram,Criteria 5.1,0.000

10,10000,1,uniformBigram,Criteria 5.1,0.616
100,10000,1,uniformBigram,Criteria 5.1,0.000
1000,10000,1,uniformBigram,Criteria 5.1,0.000
1000,10000,1,uniformBigram,Criteria 5.1,0.000
10000,1000,1,uniformBigram,Criteria 5.1,0.000

10,10000,2,uniformMonogram,Criteria 5.1,1.000
100,10000,2,uniformMonogram,Criteria 5.1,0.988
1000,10000,2,uniformMonogram,Criteria 5.1,0.041
1000,10000,2,uniformMonogram,Criteria 5.1,0.044
10000,1000,2,uniformMonogram,Criteria 5.1,0.000

10,10000,2,uniformBigram,Criteria 5.1,1.000
100,10000,2,uniformBigram,Criteria 5.1,0.987
1000,10000,2,uniformBigram,Criteria 5.1,0.036
1000,10000,2,uniformBigram,Criteria 5.1,0.038
10000,1000,2,uniformBigram,Criteria 5.1,0.000

10,10000,1,recurrentMonogram,Criteria 5.1,0.872
100,10000,1,recurrentMonogram,Criteria 5.1,0.249
1000,10000,1,recurrentMonogram,Criteria 5.1,0.251
1000,10000,1,recurrentMonogram,Criteria 5.1,0.253
10000,1000,1,recurrentMonogram,Criteria 5.1,0.255

10,10000,1,recurrentBigram,Criteria 5.1,0.747
100,10000,1,recurrentBigram,Criteria 5.1,0.000
1000,10000,1,recurrentBigram,Criteria 5.1,0.000
1000,10000,1,recurrentBigram,Criteria 5.1,0.000
10000,1000,1,recurrentBigram,Criteria 5.1,0.000

10,10000,2,recurrentMonogram,Criteria 5.1,1.000
100,10000,2,recurrentMonogram,Criteria 5.1,1.000
1000,10000,2,recurrentMonogram,Criteria 5.1,1.000
1000,10000,2,recurrentMonogram,Criteria 5.1,1.000
10000,1000,2,recurrentMonogram,Criteria 5.1,1.000

10,10000,2,recurrentBigram,Criteria 5.1,1.000
100,10000,2,recurrentBigram,Criteria 5.1,0.984
1000,10000,2,recurrentBigram,Criteria 5.1,0.290
1000,10000,2,recurrentBigram,Criteria 5.1,0.291
10000,1000,2,recurrentBigram,Criteria 5.1,0.023

